"Add Customer Group","Añadir grupo de clientes"
"Assigned customers","Clientes asignados"
"Available customers","Clientes disponibles"
"Back to Customer Groups","Volver a grupos de clientes"
"Customer Groups","Grupos de clientes"
"Customer group was created successfully.","El grupo de clientes se creó correctamente."
"Customer group was updated successfully.","El grupo de clientes se actualizó correctamente."
"De-select all","Desmarcar todo"
"Delete Customer Group","Eliminar grupo de clientes"
Description,Descripción
"Edit Customer Group","Editar grupo de clientes"
"List Customer Groups","Lista de grupos de clientes"
Save,Guardar
"Select all","Seleccionar todo"
"Selected customers to assign","Clientes seleccionados para asignar"
"Selected customers to de-assign","Clientes seleccionados para desasignar"
"View Customer Group","Ver grupo de clientes"
"Customer groups","Grupos de clientes"
"Add a customer group","Añadir un grupo de clientes"
Select,Seleccionar
