"Add Customer Group","Ajouter un groupe de clients"
"Assigned customers","Clients attribués"
"Available customers","Clients disponibles"
"Back to Customer Groups","Retour aux groupes de clients"
"Customer Groups","Groupes de clients"
"Customer group was created successfully.","Le groupe de clients a été créé avec succès."
"Customer group was updated successfully.","Le groupe de clients a été mis à jour avec succès."
"De-select all","Déselectionner tout"
"Delete Customer Group","Supprimer le groupe de clients"
Description,Description
"Edit Customer Group","Modifier le groupe de clients"
"List Customer Groups","Liste des groupes de clients"
Save,Enregistrer
"Select all","Sélectionner tout"
"Selected customers to assign","Clients sélectionnés à attribuer"
"Selected customers to de-assign","Clients sélectionnés à désattribuer"
"View Customer Group","Voir le groupe de clients"
"Customer groups","Groupes de clients"
"Add a customer group","Ajouter un groupe de clients"
Select,Sélectionner
