"Add a file","Añadir un archivo"
"Add MIME type","Añadir tipo MIME"
"Back to File Directory Elements","Volver a los elementos del directorio de archivos"
"Back to File Tree","Volver al árbol de archivos"
"Back to MIME type list","Volver a la lista de tipos MIME"
Cancel,Cancelar
confirm,confirmar
"Confirm deleting","Confirmar eliminación"
"Create Directory Element","Crear elemento de directorio"
"Create File Directory","Crear directorio de archivos"
Date,fecha
"Delete Directory","Eliminar directorio"
"Directory element details","Detalles del elemento de directorio"
"Do you want to remove the folder with all files?","¿Desea eliminar la carpeta con todos los archivos?"
"Edit file","Editar archivo"
"Edit MIME type","Editar tipo MIME"
"Failed to delete MIME type","Error al eliminar el tipo MIME"
"File Directory tree updated successfully.","El árbol de directorios de archivos se actualizó correctamente."
"File List","Lista de archivos"
"File Manager","Gestor de archivos"
"File name","Nombre de archivo"
"File Tree","Árbol de archivos"
"File type","Tipo de archivo"
"File type is not allowed for uploading","No se permite el tipo de archivo para la carga"
"File upload","Cargar archivo"
"File was not found","Archivo no encontrado"
"Files list","Lista de archivos"
"MIME type","Tipo MIME"
"MIME type already exists","El tipo MIME ya existe"
"MIME type settings","Configuración de tipos MIME"
"MIME type was successfully deleted","El tipo MIME se eliminó correctamente"
"MIME type was successfully saved","El tipo MIME se guardó correctamente"
Save,Guardar
"Save order","Guardar orden"
"Specify a file name or use real one","Especificar un nombre de archivo"
"The file directory was added successfully.","El directorio de archivos se agregó correctamente"
"The file was added successfully.","El archivo se agregó correctamente"
"The file was edited successfully.","El archivo se editó correctamente"
"Upload a file","Cargar un archivo"
"Upload a file or specify a new file name","Cargar un archivo o especificar un nuevo nombre de archivo"
"Use file name","Usar nombre de archivo"
"View file","Ver archivo"
"Is allowed","Está permitido"
"Add File","Agregar archivo"
"File Directories Tree","Árbol de directorios de archivos"
"Overview of File Tree","Resumen del árbol de archivos"
"You cannot remove the only version of the file.","No puedes eliminar la única versión del archivo."
"Available extensions for MIME type. Comma separated.","Extensiones disponibles para el tipo MIME. Separadas por comas."
"There are no MIME types or extensions configured.","No hay tipos MIME o extensiones configuradas."
